Luca,11,76
Loyal,11,82
Ace,10,68
Khai,10,92
Bryce,12,68
Violet,11,68
Willow,11,76
Bryson,10,84
Quentin,9,87
Leona,9,84
Junior,9,94
Yara,11,61
James,10,86
Lorenzo,11,86
Luis,11,87
Allison,9,68
Jagger,11,90
Maryam,10,76
Simone,9,90
Dylan,9,91
Monica,11,79
Ashley,12,72
Kamila,11,85
Everleigh,11,65
Jaylene,11,98
Makenzie,10,85
Keith,12,73
Katalina,12,72
Nikolas,9,95
Faith,10,87
Sincere,9,87
Paityn,12,81
Jerry,10,91
Leilani,12,90
Gustavo,10,86
Nolan,10,65
Mohammed,9,70
Idris,11,74
Lorelai,9,73
Bella,11,60
Dominik,9,63
Aries,11,86
Hendrix,12,79
Addilynn,10,74
Aiyana,10,95
Hayden,9,98
Curtis,11,63
Thaddeus,12,71
Calum,9,91
Skyla,11,96
Dior,11,95
Porter,12,93
Allyson,10,78
Legacy,9,71
Kyrie,10,77
Amiri,10,72
Emir,12,95
Sutton,12,66
Angela,11,74
Jair,12,93
Logan,12,87
Justice,12,97
Elon,10,65
Bowen,10,60
Adeline,9,70
Luka,12,98
Spencer,9,75
Kailani,10,61
Jovanni,10,94
Arthur,10,74
Sydney,11,90
Viviana,12,66
Roger,12,63
Kayleigh,11,79
Zaire,9,88
Aylin,12,93
Azaria,11,70
Damari,9,88
Titus,12,75
Lilah,9,88
Zaiden,11,68
Irene,9,92
Goldie,12,81
Maggie,9,81
Abram,9,62
Ahmad,12,73
Brittany,9,81
Madilyn,12,70
Kennedy,11,92
Destiny,9,59
Sienna,11,82
Brecken,12,60
Bethany,10,83
Ezra,10,81
Georgia,11,98
Flora,12,73
Guinevere,9,65
Giavanna,10,62
Santiago,10,67
Xiomara,10,71
Anaya,10,81
Raegan,12,81
Madalyn,9,70
Aliya,10,75
Karsyn,9,72
Wells,9,62
Penelope,9,99
Blaze,9,66
Jocelyn,10,88
Kendall,9,79
Kace,11,82
Robin,11,68
Liana,11,68
Shawn,10,90
Sarah,12,67
Tiffany,12,77
Canaan,12,86
Iyla,9,71
Elyse,11,69
Quinn,10,98
Ricky,10,99
Brooklynn,10,84
Adelynn,12,60
Gwen,12,85
Reyna,11,89
Sophia,12,63
Rome,11,95
Jeremiah,12,72
Amaya,9,83
Robin,11,74
Eloise,12,79
Ty,9,61
Briggs,12,95
Lane,10,67
Leland,12,68
Damien,11,85
Khalil,12,83
Isaiah,12,87
Dexter,10,73
Cory,12,86
Kenzie,12,76
Seven,11,66
Garrett,12,61
Guillermo,10,65
Jax,10,91
Kingston,9,64
Mackenzie,11,98
Sierra,9,92
Edwin,9,94
Bodhi,9,75
Graysen,10,72
Hannah,11,69
Eleanora,9,70
Lana,10,73
Nellie,9,89
Sergio,12,80
Alaiya,9,72
Nathaniel,9,59
Dallas,11,74
Tucker,12,89
Grace,10,69
Armando,9,66
Felipe,9,66
Mallory,12,94
Derrick,11,99
Sonny,10,98
Heaven,11,83
Griffin,10,85
Penny,10,92
Jadiel,10,66
Reign,9,61
Lawson,9,89
Osiris,11,96
Jett,9,64
Dilan,12,97
Abraham,9,89
Knox,9,71
Oakley,11,65
Alice,10,81
Reagan,10,88
Jakob,12,95
Jaxxon,10,81
Fernando,9,76
Jesse,10,73
Brennan,12,95
Lola,11,86
Raymond,10,70
Ivy,12,78
Zuri,9,75
Bjorn,11,82
Maxine,10,76
Yaretzi,12,83
Clover,10,78
Harper,9,97
Ariel,9,76
Myla,10,59
Sandra,9,82
Clayton,11,82
Melvin,10,93
Arielle,12,95
Alonzo,10,83
Omar,11,96
Liliana,12,93
Theodora,10,82
Aubrie,9,75
Dakari,12,75
Ezra,9,64
Adalynn,11,97
Landen,11,99
Giovanna,10,96
Elora,10,99
Cayson,9,87
Zoey,11,75
Moses,10,65
Edward,11,87
Emory,9,70
Jazmin,10,60
Ariyah,11,63
Alana,11,70
Madden,11,64
Ramona,10,93
Kara,12,62
Juan,12,85
Brixton,9,89
Marleigh,12,81
Anne,10,62
Hazel,12,99
Lyanna,9,75
Kody,12,67
Dominick,10,98
Gatlin,11,79
Tiana,9,81
Alan,12,90
Malachi,10,69
Zeke,11,90
Dax,10,88
Adalyn,9,96
Sarai,12,89
Xavier,11,91
Alaina,10,70
Joaquin,9,99
Amias,10,68
Erin,11,61
Rodney,9,60
Ryder,9,69
Cohen,10,89
Alani,11,74
Rowan,12,98
Saige,11,91
Jovie,11,60
Enzo,9,86
Ramon,12,83
Nelson,11,87
Dominic,9,92
Emely,10,59
Halle,11,72
Adrian,9,84
Jenna,11,61
Blake,10,60
Jade,12,65
Lauryn,11,97
Mohamed,11,74
Cataleya,10,82
Hunter,11,83
Brynn,11,61
Aria,9,82
Londyn,11,78
Eliel,12,98
Judah,12,74
Annika,10,97
Valerie,10,91
Malani,12,96
Troy,11,87
Lochlan,9,79
Laila,9,68
Esteban,10,77
Wesley,12,81
Harold,11,90
Harry,12,78
Braylen,10,95
Olivia,11,87
